學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
108,私立,一般大學,1058,明道學校財團法人明道大學,2441,115,21.23
108,私立,技專校院,1060,南開科技大學,3291,151,21.79
108,私立,技專校院,1061,中華學校財團法人中華科技大學,3917,169,23.18
108,私立,技專校院,1062,僑光科技大學,6506,229,28.41
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,2121,98,21.64
108,私立,技專校院,1064,美和學校財團法人美和科技大學,5037,220,22.90
108,私立,技專校院,1065,吳鳳科技大學,3322,145,22.91
108,私立,技專校院,1066,環球學校財團法人環球科技大學,2704,147,18.39
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,1269,74,17.15
108,私立,技專校院,1068,中州學校財團法人中州科技大學,1431,98,14.60
108,私立,技專校院,1069,修平學校財團法人修平科技大學,3302,183,18.04
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5148,270,19.07
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,8515,249,34.20
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,814,46,17.70
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6423,230,27.93
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7246,266,27.24
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,2467,137,18.01
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,2965,161,18.42
108,私立,技專校院,1078,致理學校財團法人致理科技大學,8108,272,29.81
108,私立,一般大學,1079,康寧學校財團法人康寧大學,3206,124,25.85
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,3546,175,20.26
108,私立,技專校院,1081,東方學校財團法人東方設計大學,2076,118,17.59
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,2014,85,23.69
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,3960,138,28.70
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,718,51,14.08
108,私立,技專校院,1148,大漢技術學院,359,41,8.76
108,私立,技專校院,1159,和春技術學院,404,46,8.78
108,私立,技專校院,1166,亞東技術學院,4361,154,28.32
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,1752,99,17.70
108,私立,一般大學,1176,稻江科技暨管理學院,1182,46,25.70
108,私立,技專校院,1182,蘭陽技術學院,667,51,13.08
108,私立,技專校院,1183,黎明技術學院,3885,156,24.90
108,私立,技專校院,1185,經國管理暨健康學院,3458,144,24.01
108,私立,技專校院,1188,大同技術學院,886,60,14.77
108,私立,技專校院,1192,臺灣觀光學院,376,18,20.89
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,684,127,5.39
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,305,26,11.73
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,3981,141,28.23
108,私立,技專校院,1283,仁德醫護管理專科學校,6042,207,29.19
108,私立,技專校院,1284,樹人醫護管理專科學校,6741,221,30.50
108,私立,技專校院,1285,慈惠醫護管理專科學校,4233,150,28.22
108,私立,技專校院,1286,耕莘健康管理專科學校,4792,169,28.36
108,私立,技專校院,1287,敏惠醫護管理專科學校,3904,120,32.53
108,私立,技專校院,1289,育英醫護管理專科學校,1996,69,28.93
108,私立,技專校院,1291,聖母醫護管理專科學校,2543,93,27.34
108,私立,技專校院,1292,新生醫護管理專科學校,5955,218,27.32
108,私立,技專校院,1293,崇仁醫護管理專科學校,3330,126,26.43
108,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,41,12,3.42
108,私立,宗教研修學院,1R03,臺北基督學院,81,11,7.36
108,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,109,11,9.91
108,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,107,18,5.94
108,私立,宗教研修學院,1R06,一貫道崇德學院,58,6,9.67
108,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,67,10,6.70
108,公立,一般大學,3002,臺北市立大學,6719,334,20.12
109,公立,一般大學,0001,國立政治大學,14585,727,20.06
109,公立,一般大學,0002,國立清華大學,15601,835,18.68
109,公立,一般大學,0003,國立臺灣大學,30852,2053,15.03
109,公立,一般大學,0004,國立臺灣師範大學,13791,823,16.76
109,公立,一般大學,0005,國立成功大學,20274,1336,15.18
109,公立,一般大學,0006,國立中興大學,12378,775,15.97
109,公立,一般大學,0007,國立陽明交通大學,13582,755,17.99
109,公立,一般大學,0008,國立中央大學,10563,669,15.79
109,公立,一般大學,0009,國立中山大學,8601,558,15.41
109,公立,一般大學,0012,國立臺灣海洋大學,7707,440,17.52
109,公立,一般大學,0013,國立中正大學,9716,533,18.23
109,公立,一般大學,0014,國立高雄師範大學,5531,286,19.34
109,公立,一般大學,0015,國立彰化師範大學,7041,368,19.13
109,公立,一般大學,0016,國立陽明大學,4379,405,10.81
109,公立,一般大學,0017,國立臺北大學,7415,384,19.31
109,公立,一般大學,0018,國立嘉義大學,8863,513,17.28
109,公立,一般大學,0019,國立高雄大學,5066,238,21.29
109,公立,一般大學,0020,國立東華大學,9459,457,20.70
109,公立,一般大學,0021,國立暨南國際大學,5554,273,20.34
109,公立,技專校院,0022,國立臺灣科技大學,10359,557,18.60
109,公立,技專校院,0023,國立雲林科技大學,8822,422,20.91
109,公立,技專校院,0024,國立屏東科技大學,9036,425,21.26
109,公立,技專校院,0025,國立臺北科技大學,10283,456,22.55
109,公立,一般大學,0028,國立臺北藝術大學,2965,165,17.97
109,公立,一般大學,0029,國立臺灣藝術大學,3217,155,20.75
109,公立,一般大學,0030,國立臺東大學,4006,202,19.83
109,公立,一般大學,0031,國立宜蘭大學,4854,235,20.66
109,公立,一般大學,0032,國立聯合大學,6387,284,22.49
109,公立,技專校院,0033,國立虎尾科技大學,8617,347,24.83
109,公立,一般大學,0035,國立臺南藝術大學,1542,108,14.28
109,公立,一般大學,0036,國立臺南大學,4963,230,21.58
109,公立,一般大學,0037,國立臺北教育大學,4864,238,20.44
109,公立,一般大學,0039,國立臺中教育大學,4139,203,20.39
109,公立,技專校院,0042,國立澎湖科技大學,2707,127,21.31
109,公立,技專校院,0043,國立勤益科技大學,7342,313,23.46
109,公立,一般大學,0044,國立體育大學,2271,102,22.26
109,公立,技專校院,0046,國立臺北護理健康大學,4421,207,21.36
109,公立,技專校院,0047,國立高雄餐旅大學,3592,164,21.90
109,公立,一般大學,0048,國立金門大學,3186,147,21.67
109,公立,一般大學,0049,國立臺灣體育運動大學,2630,124,21.21
109,公立,技專校院,0050,國立臺中科技大學,10629,420,25.31
109,公立,技專校院,0051,國立臺北商業大學,5194,221,23.50
109,公立,一般大學,0052,國立屏東大學,7539,350,21.54
109,公立,技專校院,0053,國立高雄科技大學,21369,864,24.73
109,公立,技專校院,0144,國立臺灣戲曲學院,546,32,17.06
109,公立,技專校院,0221,國立臺南護理專科學校,1916,92,20.83
109,公立,技專校院,0222,國立臺東專科學校,916,67,13.67
109,私立,一般大學,1001,東海大學,14498,561,25.84
109,私立,一般大學,1002,輔仁大學,19959,726,27.49
109,私立,一般大學,1003,東吳大學,13172,430,30.63
109,私立,一般大學,1004,中原大學,15510,493,31.46
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,22205,722,30.75
109,私立,一般大學,1006,中國文化大學,22501,704,31.96
109,私立,一般大學,1007,逢甲大學,19127,664,28.81
109,私立,一般大學,1008,靜宜大學,11694,383,30.53
109,私立,一般大學,1009,長庚大學,6630,571,11.61
109,私立,一般大學,1010,元智大學,8153,301,27.09
109,私立,一般大學,1011,中華大學學校財團法人中華大學,4429,216,20.50
109,私立,一般大學,1012,大葉大學,6826,291,23.46
109,私立,一般大學,1013,華梵大學,993,76,13.07
109,私立,一般大學,1014,義守大學,12627,539,23.43
109,私立,一般大學,1015,世新大學,10096,345,29.26
109,私立,一般大學,1016,銘傳大學,17842,567,31.47
109,私立,一般大學,1017,實踐大學,11114,339,32.78
109,私立,技專校院,1018,朝陽科技大學,12227,393,31.11
109,私立,一般大學,1019,高雄醫學大學,6263,544,11.51
109,私立,一般大學,1020,南華大學,4982,192,25.95
109,私立,一般大學,1021,真理大學,5190,233,22.27
109,私立,一般大學,1022,大同大學,3883,143,27.15
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,13780,549,25.10
109,私立,技專校院,1024,崑山科技大學,7406,307,24.12
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,9703,383,25.33
109,私立,技專校院,1026,樹德科技大學,7721,266,29.03
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,3354,238,14.09
109,私立,一般大學,1028,臺北醫學大學,5686,667,8.52
109,私立,一般大學,1029,中山醫學大學,6547,404,16.21
109,私立,技專校院,1030,龍華科技大學,7820,264,29.62
109,私立,技專校院,1031,輔英科技大學,8069,320,25.22
109,私立,技專校院,1032,明新學校財團法人明新科技大學,7714,318,24.26
109,私立,一般大學,1033,長榮大學,7741,321,24.12
109,私立,技專校院,1034,弘光科技大學,8380,332,25.24
109,私立,一般大學,1035,中國醫藥大學,7108,521,13.64
109,私立,技專校院,1036,健行學校財團法人健行科技大學,6954,277,25.10
109,私立,技專校院,1037,正修學校財團法人正修科技大學,9072,415,21.86
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,6250,241,25.93
109,私立,一般大學,1039,玄奘大學,2194,111,19.77
109,私立,技專校院,1040,建國科技大學,4154,215,19.32
109,私立,技專校院,1041,明志科技大學,4097,199,20.59
109,私立,技專校院,1042,高苑科技大學,1876,180,10.42
109,私立,技專校院,1043,大仁科技大學,3469,163,21.28
109,私立,技專校院,1044,聖約翰科技大學,1829,130,14.07
109,私立,技專校院,1045,嶺東科技大學,7556,272,27.78
109,私立,技專校院,1046,中國科技大學,6525,239,27.30
109,私立,技專校院,1047,中臺科技大學,5324,234,22.75
109,私立,一般大學,1048,亞洲大學,10260,393,26.11
109,私立,一般大學,1049,開南大學,4254,200,21.27
109,私立,一般大學,1050,佛光大學,3336,165,20.22
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9492,327,29.03
109,私立,技專校院,1052,遠東科技大學,3416,179,19.08
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,4044,183,22.10
109,私立,技專校院,1054,景文科技大學,5099,170,29.99
109,私立,技專校院,1055,中華醫事科技大學,7348,268,27.42
109,私立,技專校院,1056,東南科技大學,4518,168,26.89
109,私立,技專校院,1057,德明財經科技大學,6742,223,30.23
109,私立,一般大學,1058,明道學校財團法人明道大學,1903,112,16.99
109,私立,技專校院,1060,南開科技大學,2750,138,19.93
109,私立,技專校院,1061,中華學校財團法人中華科技大學,3479,152,22.89
109,私立,技專校院,1062,僑光科技大學,6292,232,27.12
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,1863,92,20.25
109,私立,技專校院,1064,美和學校財團法人美和科技大學,4485,208,21.56
109,私立,技專校院,1065,吳鳳科技大學,3228,142,22.73
109,私立,技專校院,1066,環球學校財團法人環球科技大學,2412,127,18.99
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,918,66,13.91
109,私立,技專校院,1068,中州學校財團法人中州科技大學,937,82,11.43
109,私立,技專校院,1069,修平學校財團法人修平科技大學,3032,174,17.43
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5031,319,15.77
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,8160,247,33.04
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,568,41,13.85
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6198,216,28.69
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7108,267,26.62
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,2189,116,18.87
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,2991,162,18.46
109,私立,技專校院,1078,致理學校財團法人致理科技大學,8237,265,31.08
109,私立,一般大學,1079,康寧學校財團法人康寧大學,3077,121,25.43
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,3307,174,19.01
109,私立,技專校院,1081,東方學校財團法人東方設計大學,1553,94,16.52
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,1766,75,23.55
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,3511,143,24.55
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,796,55,14.47
109,私立,技專校院,1148,大漢技術學院,336,39,8.62
109,私立,技專校院,1159,和春技術學院,236,48,4.92
109,私立,技專校院,1166,亞東技術學院,4246,149,28.50
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,1588,91,17.45
109,私立,一般大學,1176,稻江科技暨管理學院,143,17,8.41
109,私立,技專校院,1182,蘭陽技術學院,442,44,10.05
109,私立,技專校院,1183,黎明技術學院,3921,168,23.34
109,私立,技專校院,1185,經國管理暨健康學院,3150,138,22.83
109,私立,技專校院,1188,大同技術學院,634,50,12.68
109,私立,技專校院,1192,臺灣觀光學院,164,10,16.40
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,762,127,6
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,302,24,12.58
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,3884,145,26.79
109,私立,技專校院,1283,仁德醫護管理專科學校,6117,215,28.45
109,私立,技專校院,1284,樹人醫護管理專科學校,6727,224,30.03
109,私立,技專校院,1285,慈惠醫護管理專科學校,3711,140,26.51
109,私立,技專校院,1286,耕莘健康管理專科學校,4574,164,27.89
109,私立,技專校院,1287,敏惠醫護管理專科學校,3903,128,30.49
109,私立,技專校院,1289,育英醫護管理專科學校,1991,70,28.44
109,私立,技專校院,1291,聖母醫護管理專科學校,2189,89,24.60
109,私立,技專校院,1292,新生醫護管理專科學校,6004,214,28.06
109,私立,技專校院,1293,崇仁醫護管理專科學校,3293,124,26.56
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,43,12,3.58
109,私立,宗教研修學院,1R03,臺北基督學院,74,10,7.40
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,117,12,9.75
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,111,19,5.84
109,私立,宗教研修學院,1R06,一貫道崇德學院,69,6,11.50
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,75,10,7.50
109,公立,一般大學,3002,臺北市立大學,6864,323,21.25
110,公立,一般大學,0001,國立政治大學,14478,722,20.05
110,公立,一般大學,0002,國立清華大學,16122,852,18.92
110,公立,一般大學,0003,國立臺灣大學,31292,2060,15.19
110,公立,一般大學,0004,國立臺灣師範大學,14030,824,17.03
110,公立,一般大學,0005,國立成功大學,20869,1328,15.71
110,公立,一般大學,0006,國立中興大學,12512,840,14.90
110,公立,一般大學,0007,國立陽明交通大學,18631,1156,16.12
110,公立,一般大學,0008,國立中央大學,10695,675,15.84
110,公立,一般大學,0009,國立中山大學,8807,574,15.34
110,公立,一般大學,0012,國立臺灣海洋大學,7832,443,17.68
110,公立,一般大學,0013,國立中正大學,9784,532,18.39
110,公立,一般大學,0014,國立高雄師範大學,5693,284,20.05
110,公立,一般大學,0015,國立彰化師範大學,7103,382,18.59
110,公立,一般大學,0017,國立臺北大學,7572,379,19.98
110,公立,一般大學,0018,國立嘉義大學,8989,500,17.98
110,公立,一般大學,0019,國立高雄大學,5220,238,21.93
110,公立,一般大學,0020,國立東華大學,9688,456,21.25
110,公立,一般大學,0021,國立暨南國際大學,5756,270,21.32
110,公立,技專校院,0022,國立臺灣科技大學,10443,517,20.20
110,公立,技專校院,0023,國立雲林科技大學,8864,418,21.21
110,公立,技專校院,0024,國立屏東科技大學,8990,398,22.59
110,公立,技專校院,0025,國立臺北科技大學,10319,461,22.38
110,公立,一般大學,0028,國立臺北藝術大學,2883,168,17.16
110,公立,一般大學,0029,國立臺灣藝術大學,3259,165,19.75
110,公立,一般大學,0030,國立臺東大學,4132,206,20.06
110,公立,一般大學,0031,國立宜蘭大學,4993,233,21.43
110,公立,一般大學,0032,國立聯合大學,6530,283,23.07
110,公立,技專校院,0033,國立虎尾科技大學,8846,349,25.35
110,公立,一般大學,0035,國立臺南藝術大學,1565,107,14.63
110,公立,一般大學,0036,國立臺南大學,5096,227,22.45
110,公立,一般大學,0037,國立臺北教育大學,4890,245,19.96
110,公立,一般大學,0039,國立臺中教育大學,4222,204,20.70
110,公立,技專校院,0042,國立澎湖科技大學,2738,128,21.39
110,公立,技專校院,0043,國立勤益科技大學,7618,314,24.26
110,公立,一般大學,0044,國立體育大學,2314,102,22.69
110,公立,技專校院,0046,國立臺北護理健康大學,4421,212,20.85
110,公立,技專校院,0047,國立高雄餐旅大學,3555,164,21.68
110,公立,一般大學,0048,國立金門大學,3274,148,22.12
110,公立,一般大學,0049,國立臺灣體育運動大學,2619,126,20.79
110,公立,技專校院,0050,國立臺中科技大學,10764,413,26.06
110,公立,技專校院,0051,國立臺北商業大學,5119,219,23.37
110,公立,一般大學,0052,國立屏東大學,7587,355,21.37
110,公立,技專校院,0053,國立高雄科技大學,21841,858,25.46
110,公立,技專校院,0144,國立臺灣戲曲學院,539,35,15.40
110,公立,技專校院,0221,國立臺南護理專科學校,1903,92,20.68
110,公立,技專校院,0222,國立臺東專科學校,839,64,13.11
110,私立,一般大學,1001,東海大學,14700,554,26.53
110,私立,一般大學,1002,輔仁大學,20147,731,27.56
110,私立,一般大學,1003,東吳大學,13295,431,30.85
110,私立,一般大學,1004,中原大學,15623,499,31.31
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,22665,742,30.55
110,私立,一般大學,1006,中國文化大學,22290,693,32.16
110,私立,一般大學,1007,逢甲大學,19385,657,29.51
110,私立,一般大學,1008,靜宜大學,11840,374,31.66
110,私立,一般大學,1009,長庚大學,6741,592,11.39
110,私立,一般大學,1010,元智大學,8196,296,27.69
110,私立,一般大學,1011,中華大學學校財團法人中華大學,4474,207,21.61
110,私立,一般大學,1012,大葉大學,6145,284,21.64
110,私立,一般大學,1013,華梵大學,900,69,13.04
110,私立,一般大學,1014,義守大學,12576,532,23.64
110,私立,一般大學,1015,世新大學,10186,336,30.32
110,私立,一般大學,1016,銘傳大學,18189,555,32.77
110,私立,一般大學,1017,實踐大學,10997,324,33.94
110,私立,技專校院,1018,朝陽科技大學,12245,386,31.72
110,私立,一般大學,1019,高雄醫學大學,6320,535,11.81
110,私立,一般大學,1020,南華大學,4805,195,24.64
110,私立,一般大學,1021,真理大學,4979,225,22.13
110,私立,一般大學,1022,大同大學,3840,140,27.43
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,13565,519,26.14
110,私立,技專校院,1024,崑山科技大學,7136,289,24.69
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,9278,347,26.74
110,私立,技專校院,1026,樹德科技大學,7631,254,30.04
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,3329,232,14.35
110,私立,一般大學,1028,臺北醫學大學,5823,680,8.56
110,私立,一般大學,1029,中山醫學大學,6765,410,16.50
110,私立,技專校院,1030,龍華科技大學,8659,272,31.83
110,私立,技專校院,1031,輔英科技大學,8099,318,25.47
110,私立,技專校院,1032,明新學校財團法人明新科技大學,7422,304,24.41
110,私立,一般大學,1033,長榮大學,7422,316,23.49
110,私立,技專校院,1034,弘光科技大學,8420,332,25.36
110,私立,一般大學,1035,中國醫藥大學,7157,518,13.82
110,私立,技專校院,1036,健行學校財團法人健行科技大學,6900,266,25.94
110,私立,技專校院,1037,正修學校財團法人正修科技大學,9346,401,23.31
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,5927,234,25.33
110,私立,一般大學,1039,玄奘大學,1877,107,17.54
110,私立,技專校院,1040,建國科技大學,3669,192,19.11
110,私立,技專校院,1041,明志科技大學,4135,199,20.78
110,私立,技專校院,1042,高苑科技大學,1723,161,10.70
110,私立,技專校院,1043,大仁科技大學,3188,151,21.11
110,私立,技專校院,1044,聖約翰科技大學,1266,118,10.73
110,私立,技專校院,1045,嶺東科技大學,7445,268,27.78
110,私立,技專校院,1046,中國科技大學,6248,226,27.65
110,私立,技專校院,1047,中臺科技大學,5062,230,22.01
110,私立,一般大學,1048,亞洲大學,10281,385,26.70
110,私立,一般大學,1049,開南大學,3864,183,21.11
110,私立,一般大學,1050,佛光大學,3129,162,19.31
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9204,329,27.98
110,私立,技專校院,1052,遠東科技大學,2714,160,16.96
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,3871,169,22.91
110,私立,技專校院,1054,景文科技大學,4685,166,28.22
110,私立,技專校院,1055,中華醫事科技大學,7128,251,28.40
110,私立,技專校院,1056,東南科技大學,4177,154,27.12
110,私立,技專校院,1057,德明財經科技大學,6733,221,30.47
110,私立,一般大學,1058,明道學校財團法人明道大學,1504,106,14.19
110,私立,技專校院,1060,南開科技大學,2282,112,20.38
110,私立,技專校院,1061,中華學校財團法人中華科技大學,3085,143,21.57
110,私立,技專校院,1062,僑光科技大學,5931,220,26.96
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,1722,87,19.79
110,私立,技專校院,1064,美和學校財團法人美和科技大學,3998,192,20.82
110,私立,技專校院,1065,吳鳳科技大學,3090,137,22.55
110,私立,技專校院,1066,環球學校財團法人環球科技大學,1855,118,15.72
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,643,59,10.90
110,私立,技專校院,1068,中州學校財團法人中州科技大學,556,78,7.13
110,私立,技專校院,1069,修平學校財團法人修平科技大學,2910,159,18.30
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5050,324,15.59
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,7841,241,32.54
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,465,34,13.68
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6171,205,30.10
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,6967,270,25.80
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,1949,110,17.72
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,2986,166,17.99
110,私立,技專校院,1078,致理學校財團法人致理科技大學,8262,270,30.60
110,私立,一般大學,1079,康寧學校財團法人康寧大學,2897,112,25.87
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,3123,164,19.04
110,私立,技專校院,1081,東方學校財團法人東方設計大學,1068,74,14.43
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,1642,61,26.92
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,3311,134,24.71
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,4076,143,28.50
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,882,66,13.36
110,私立,技專校院,1148,大漢技術學院,284,33,8.61
110,私立,技專校院,1159,和春技術學院,111,35,3.17
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,1375,79,17.41
110,私立,技專校院,1182,蘭陽技術學院,262,27,9.70
110,私立,技專校院,1183,黎明技術學院,3930,155,25.35
110,私立,技專校院,1185,經國管理暨健康學院,2876,137,20.99
110,私立,技專校院,1188,大同技術學院,477,46,10.37
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,795,130,6.12
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,329,25,13.16
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,3853,147,26.21
110,私立,技專校院,1283,仁德醫護管理專科學校,5970,215,27.77
110,私立,技專校院,1284,樹人醫護管理專科學校,6743,221,30.51
110,私立,技專校院,1285,慈惠醫護管理專科學校,3094,128,24.17
110,私立,技專校院,1286,耕莘健康管理專科學校,4272,166,25.73
110,私立,技專校院,1287,敏惠醫護管理專科學校,3841,121,31.74
110,私立,技專校院,1289,育英醫護管理專科學校,1923,68,28.28
110,私立,技專校院,1291,聖母醫護管理專科學校,1821,85,21.42
110,私立,技專校院,1292,新生醫護管理專科學校,5985,208,28.77
110,私立,技專校院,1293,崇仁醫護管理專科學校,3209,120,26.74
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,49,11,4.45
110,私立,宗教研修學院,1R03,臺北基督學院,65,8,8.13
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,94,6,15.67
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,116,20,5.80
110,私立,宗教研修學院,1R06,一貫道崇德學院,74,6,12.33
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,73,10,7.30
110,私立,宗教研修學院,1R08,中華福音神學研究學院,18,15,1.20
110,私立,宗教研修學院,1R09,唯心聖教學院,15,6,2.50
110,公立,一般大學,3002,臺北市立大學,6913,322,21.47
